Фраза,URL,rating
Injir Village Hotel Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gudauta/mid8663514/injir_village/,
La Terraza Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gudauta/mid6791955/guest_house_la_terrasa/,9
Lazur Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gyachrypsh/mid8685989/lazur_abhaziya_hotel/,
Leon Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/sukhumi/mid6323573/otel_leon/,9
Lernest Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/novii_afon/mid10086081/lernest/,
Lucette Guest House Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/ldzaa/mid8752675/lucette_guest_house/,9
Marco Club Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gagra/mid6345880/marco_club/,
Maxx Hotel Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gudauta/mid9226768/maxx_hotel_2/,8
Old Pitius Hotel Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/pizunda/mid10008484/hotel_old_pitius/,
Paradise Beach Hotel Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/alakhadzi/mid8685653/paradise_beach_hotel_6/,"6,1"
Pekan Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/alakhadzi/mid10005719/gostevoj_dom_pekan/,"9,4"
Pitsunda Cat Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/pizunda/mid8754622/pitsunda_cat/,6
Psou Hotel Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/candriph/mid8748514/psou_do/,"5,3"
RD Hotel Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gagra/mid9226774/rdhotel/,
Sirius Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/pizunda/star1/,"8,9"
Spa Hotel Napra Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/candriph/mid6973333/napra_2/,"6,7"
Sun Palace Gagra Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gagra/mid8754554/sun_palace_gagra_otel/,7
Sun Сухум Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/sukhumi/mid8113778/villa_sun_sukhum/,
Sunrise Garden Hotel Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gagra/mid8423536/sunrise_garden_hotel/,8
SVK Hotel Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/novii_afon/mid6646798/svkhotel/,
Travel Hotel Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gagra/mid9665040/travel_hotel_4/,
Vesna Hotel Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/sukhumi/mid8683546/hotel_vesna_2/,"8,5"
Villa Akvavizi Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gagra/mid8534178/villa_akvavizi_hotel/,"9,9"
Villa Sova Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/russia/arhiz/mid10219497/sova_villa/,
Villa Victoria Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gudauta/mid8752691/villa_viktoriia_otel/,
Viva Maria Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/sukhumi/mid6551639/viva_maria_hotel_/,
Wellness Park Hotel Gagra Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gagra/mid7062237/wellness_park_hotel_gagra_allinclusive/,"8,9"
Абаата Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gagra/mid8752956/abaata_gagra/,8
Абхазия Абхазия site:ostrovok.ru,https://blog.ostrovok.ru/tradicii-abxazii/,
Абхазский дворик Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/candriph/mid8754115/abkhazskii_dvorik_gtsa/,8
Агава Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gagra/mid9828685/agava_guest_house_4/,
Адан Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/candriph/mid10016560/gostevoy_dom_qui/,
Аимара Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gagra/mid6669555/aimara_hotel/,"8,3"
Айсберг Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/russia/hutyn/mid10219053/aysberg_hostel/,9
Аквамарин Фэмили Клаб Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/gagra/mid9226765/akvamarin_10/,7
Акварель Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/candriph/mid6536129/aquarel_hotel_/,
Алан Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/sukhumi/mid9211746/ainlan/,"9,1"
Александрия Абхазия site:ostrovok.ru,https://ostrovok.ru/hotel/abkhazia/sukhumi/mid8752710/aleksandriia_otel/,
